,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales,diff
1405,28400642033,0,386.3,28,0,1138.42,752.12
1406,28400642033,0,237.76,29,0,991.2,753.44
1407,28400642033,0,146.64,30,0,1105.21,958.57
1408,28400642033,0,209.56,31,0,1271.91,1062.35
1409,28400642033,0,140.9,32,0,2557.03,2416.13
1410,28400642033,0,195,33,0,1969.16,1774.16
1411,28400642033,0,1158.6,34,0,1150.33,-8.27
1412,28400642033,0,461.9,35,2,1093.1,631.2
1413,28400642033,0,335.47,36,2,1096.17,760.7
1414,28400642033,0,368.37,37,0,1267.53,899.16
1415,28400642033,0,450.49,38,2,1319.96,869.47
1416,28400642033,0,453.29,39,2,1237.67,784.38
1417,28400642033,0,355.51,40,31,1249.47,893.96
1418,28400642033,0,575.55,41,28,1530.51,954.96
1419,28400642033,0,438.18,42,45,1348.29,910.11
1420,28400642033,0,452.42,43,29,1431.99,979.57
1421,28400642033,0,391.62,44,13,1411.89,1020.27
1548,30000010402,0,251.48,27,0,673.72,422.24
1549,30000010402,0,339.03,28,0,1029.51,690.48
1550,30000010402,0,428.6,29,0,840.61,412.01
1551,30000010402,0,321.01,30,0,1013.41,692.4
1552,30000010402,0,328.7,31,0,816.01,487.31
1553,30000010402,0,360.52,32,0,895.85,535.33
1554,30000010402,0,607.53,33,0,1077.23,469.7
1555,30000010402,0,411.12,34,0,987.26,576.14
1556,30000010402,0,558.56,35,0,990.76,432.2
1557,30000010402,0,497.17,36,0,902.85,405.68
1558,30000010402,0,504.23,37,0,1198.43,694.2
1559,30000010402,0,734.27,38,0,1359.79,625.52
1560,30000010402,0,665.4,39,0,1453.84,788.44
1561,30000010402,0,582.18,40,4,1202.3,620.12
1562,30000010402,0,515.77,41,1,968.8,453.03
1563,30000010402,0,600.25,42,1,1014.78,414.53
1564,30000010402,0,512.71,43,0,997.44,484.73
1565,30000010402,0,445,44,1,1070.17,625.17
1602,30000012000,0,300.78,27,0,378.99,78.21
1603,30000012000,0,365.37,28,0,468.84,103.47
1604,30000012000,0,435.15,29,0,485.16,50.01
1605,30000012000,0,277.41,30,0,392.73,115.32
1606,30000012000,0,308.69,31,0,576.66,267.97
1607,30000012000,0,415.69,32,0,714.23,298.54
1608,30000012000,0,374.29,33,0,952.54,578.25
1609,30000012000,0,343.03,34,0,808.85,465.82
1610,30000012000,0,435.87,35,0,602.1,166.23
1611,30000012000,0,551.69,36,0,726.65,174.96
1612,30000012000,0,701.15,37,0,863.01,161.86
1613,30000012000,0,422.02,38,10,1003.73,581.71
1614,30000012000,0,547.25,39,19,830.79,283.54
1615,30000012000,0,644.83,40,0,856.33,211.5
1616,30000012000,0,449.57,41,200,744.43,294.86
1617,30000012000,0,369.32,42,424,801.35,432.03
1618,30000012000,0,448.45,43,456,716.49,268.04
1619,30000012000,0,507.02,44,192,814.58,307.56
1854,30000060834,0,317.32,27,0,1090.02,772.7
1855,30000060834,0,318.92,28,0,1242.4,923.48
1856,30000060834,0,290.62,29,0,939.21,648.59
1857,30000060834,0,259.09,30,0,1163.18,904.09
1858,30000060834,0,387.29,31,0,897.74,510.45
1859,30000060834,0,767.33,32,18,1320.37,553.04
1860,30000060834,0,384.4,33,0,1586.15,1201.75
1861,30000060834,0,572.2,34,0,1298.51,726.31
1862,30000060834,0,308.94,35,36,1087.43,778.49
1863,30000060834,0,351.82,36,100,1127.76,775.94
1864,30000060834,0,618.05,37,218,1714.93,1096.88
1865,30000060834,0,365.31,38,174,1210.62,845.31
1866,30000060834,0,502.99,39,141,853.44,350.45
1867,30000060834,0,367.54,40,171,1074.68,707.14
1868,30000060834,0,389.37,41,233,1333.05,943.68
1869,30000060834,0,675.96,42,235,1535.5,859.54
1870,30000060834,0,641.52,43,95,1152.45,510.93
1871,30000060834,0,474.42,44,23,1204.81,730.39
1872,30000061190,0,211.27,27,0,898.61,687.34
1873,30000061190,0,265.92,28,0,722.33,456.41
1874,30000061190,0,283.65,29,0,724.28,440.63
1875,30000061190,0,268.39,30,0,1332.75,1064.36
1876,30000061190,0,257.33,31,0,631.85,374.52
1877,30000061190,0,563.83,32,8,739.57,175.74
1878,30000061190,0,433.64,33,0,896.18,462.54
1879,30000061190,0,708.66,34,0,1115.95,407.29
1880,30000061190,0,578.08,35,16,809.97,231.89
1881,30000061190,0,361.47,36,80,1273.83,912.36
1882,30000061190,0,608.68,37,2,1495.96,887.28
1883,30000061190,0,364.48,38,53,1035.62,671.14
1884,30000061190,0,494.33,39,27,949.73,455.4
1885,30000061190,0,384.94,40,24,1027.54,642.6
1886,30000061190,0,380.86,41,16,1388.92,1008.06
1887,30000061190,0,665.94,42,60,1680.91,1014.97
1888,30000061190,0,662.68,43,63,1307.63,644.95
1889,30000061190,0,607.17,44,6,1126.17,519
1944,30000064412,0,319.1,27,0,1224.38,905.28
1945,30000064412,0,438.34,28,0,1570.36,1132.02
1946,30000064412,0,531.36,29,0,1022.04,490.68
1947,30000064412,0,308.46,30,2,1648.62,1340.16
1948,30000064412,0,432.4,31,8,1096.82,664.42
1949,30000064412,0,829.44,32,2,1654.19,824.75
1950,30000064412,0,417.6,33,6,1600.72,1183.12
1951,30000064412,0,468.02,34,6,1669.6,1201.58
1952,30000064412,0,374.15,35,2,1105.96,731.81
1953,30000064412,0,362.24,36,6,1616.39,1254.15
1954,30000064412,0,620.33,37,15,1857.53,1237.2
1955,30000064412,0,513.51,38,21,1301.48,787.97
1956,30000064412,0,508.1,39,3,1195.33,687.23
1957,30000064412,0,539.12,40,18,1158.72,619.6
1958,30000064412,0,517.56,41,15,1607.32,1089.76
1959,30000064412,0,535.67,42,33,2034.86,1499.19
1960,30000064412,0,491.14,43,18,1345.46,854.32
1961,30000064412,0,402.96,44,3,1086.01,683.05
2016,30000169018,0,334.33,27,0,678.37,344.04
2017,30000169018,0,703.08,28,0,771,67.92
2018,30000169018,0,643.94,29,0,615.35,-28.59
2019,30000169018,0,789.17,30,0,870.66,81.49
2020,30000169018,0,856.23,31,0,936.17,79.94
2021,30000169018,0,870.17,32,0,646.01,-224.16
2022,30000169018,0,843,33,0,738.92,-104.08
2023,30000169018,0,699.23,34,0,1166.41,467.18
2024,30000169018,0,673.38,35,2,763.17,89.79
2025,30000169018,0,459.72,36,14,1419.2,959.48
2026,30000169018,0,734.38,37,2,1510.25,775.87
2027,30000169018,0,636.14,38,9,1032.49,396.35
2028,30000169018,0,692.61,39,9,850.03,157.42
2029,30000169018,0,522.12,40,10,988.55,466.43
2030,30000169018,0,524.65,41,14,970.22,445.57
2031,30000169018,0,654.53,42,14,988.36,333.83
2032,30000169018,0,490.87,43,47,1031.13,540.26
2033,30000169018,0,475.93,44,29,879.36,403.43
2034,30000261927,0,92.58,27,0,623.28,530.7
2035,30000261927,0,277.54,28,0,784.12,506.58
2036,30000261927,0,835.48,29,0,642.48,-193
2037,30000261927,0,359.69,30,0,739.43,379.74
2038,30000261927,0,622.78,31,0,868.32,245.54
2039,30000261927,0,1085.11,32,0,791.19,-293.92
2040,30000261927,0,547.87,33,0,853.5,305.63
2041,30000261927,0,787.13,34,0,805.89,18.76
2042,30000261927,0,313.49,35,0,597.44,283.95
2043,30000261927,0,687.53,36,0,550.13,-137.4
2044,30000261927,0,581.61,37,0,978.32,396.71
2045,30000261927,0,500.94,38,4,1073.39,572.45
2046,30000261927,0,676.83,39,2,729.02,52.19
2047,30000261927,0,476.17,40,8,844.08,367.91
2048,30000261927,0,527.7,41,38,638.01,110.31
2049,30000261927,0,416.13,42,30,1161.4,745.27
2050,30000261927,0,636.34,43,28,964.09,327.75
2051,30000261927,0,581.61,44,18,560.29,-21.32
2160,30000311820,0,31.16,27,0,791.52,760.36
2161,30000311820,0,84.06,28,0,747.3,663.24
2162,30000311820,0,76.4,29,0,890.16,813.76
2163,30000311820,0,127.54,30,32,982.63,855.09
2164,30000311820,0,52.5,31,52,1015.52,963.02
2165,30000311820,0,56.07,32,52,826.29,770.22
2166,30000311820,0,58.07,33,14,781.46,723.39
2167,30000311820,0,161.33,34,28,886.07,724.74
2168,30000311820,0,124.27,35,32,894.04,769.77
2169,30000311820,0,143.04,36,9,799.78,656.74
2170,30000311820,0,133.97,37,10,852.98,719.01
