,UPC,noSpendWeekCnt,noSpendtotSales,noSpendweeklySales,SpendWeekCnt,totSpend,SpendtotSales,SpendweeklySales,weeklySpend,delWeeklySales,weeklyROI
0,12000002304,12,1647.0199999999998,137.25166666666664,6,33.0,794.36,132.39333333333335,5.5,-4.858333333333292,-0.8833333333333258
1,12000012761,8,516.13,64.51625,10,57.0,1000.22,100.022,5.7,35.505750000000006,6.229078947368422
2,12000012792,11,2050.8399999999997,186.43999999999997,7,28.0,1079.3,154.18571428571428,4.0,-32.254285714285686,-8.063571428571422
3,12000017117,14,706.52,50.465714285714284,4,21.0,124.02999999999999,31.007499999999997,5.25,-19.458214285714288,-3.7063265306122455
4,12000017544,11,3015.71,274.1554545454546,7,37.0,1389.56,198.50857142857143,5.285714285714286,-75.64688311688315,-14.311572481572487
5,12000030680,14,3566.36,254.74,4,6.0,1116.1399999999999,279.03499999999997,1.5,24.29499999999996,16.19666666666664
6,12000032004,16,935.01,58.438125,2,10.0,75.4,37.7,5.0,-20.738124999999997,-4.147625
7,12000032455,11,1139.1599999999999,103.55999999999999,7,40.0,618.98,88.42571428571429,5.714285714285714,-15.134285714285696,-2.6484999999999967
8,12000046513,9,478.41,53.156666666666666,9,1162.0,439.21000000000004,48.80111111111111,129.11111111111111,-4.355555555555554,-0.03373493975903613
9,12000101519,11,1426.88,129.71636363636364,7,42.0,848.65,121.23571428571428,6.0,-8.480649350649358,-1.4134415584415596
10,12000103681,12,1366.41,113.8675,6,20.0,505.84000000000003,84.30666666666667,3.3333333333333335,-29.560833333333335,-8.86825
11,12000104510,11,2724.13,247.64818181818183,7,29.0,1810.38,258.6257142857143,4.142857142857143,10.977532467532484,2.649749216300944
12,12000112249,9,205.35000000000002,22.81666666666667,9,33.0,305.54,33.94888888888889,3.6666666666666665,11.132222222222218,3.0360606060606052
13,12000142079,10,437.82,43.782,8,76.0,359.33,44.91625,9.5,1.1342500000000015,0.11939473684210543
14,12000142086,7,602.8399999999999,86.11999999999999,11,186.0,846.9699999999999,76.99727272727272,16.90909090909091,-9.122727272727275,-0.5395161290322582
15,12000151668,12,571.72,47.64333333333334,6,46.0,362.02000000000004,60.33666666666667,7.666666666666667,12.693333333333335,1.6556521739130436
16,12000161155,16,304.3,19.01875,2,3.0,47.91,23.955,1.5,4.936249999999998,3.2908333333333317
17,12000163241,16,632.95,39.559375,2,3.0,27.3,13.65,1.5,-25.909375000000004,-17.27291666666667
18,12000171437,15,188.01,12.533999999999999,3,4.0,54.410000000000004,18.136666666666667,1.3333333333333333,5.602666666666668,4.202000000000001
19,12000171444,11,2113.62,192.1472727272727,7,51.0,1638.5300000000002,234.07571428571433,7.285714285714286,41.92844155844162,5.75488413547238
20,12000171451,9,2306.65,256.2944444444445,9,185.0,2027.7200000000003,225.30222222222224,20.555555555555557,-30.99222222222224,-1.5077297297297305
21,12000171468,12,173.74000000000004,14.478333333333337,6,15.0,85.39,14.231666666666667,2.5,-0.2466666666666697,-0.09866666666666787
22,12000171475,12,2565.1,213.75833333333333,6,64.0,1034.69,172.44833333333335,10.666666666666666,-41.309999999999974,-3.8728124999999975
23,12000171505,2,280.62,140.31,16,629.0,3368.2500000000005,210.51562500000003,39.3125,70.20562500000003,1.7858346581876001
24,12000171512,11,1142.04,103.82181818181817,7,27.0,858.47,122.63857142857144,3.857142857142857,18.816753246753265,4.878417508417513
25,12000171529,9,2238.7200000000003,248.7466666666667,9,341.0,2658.26,295.3622222222223,37.888888888888886,46.615555555555574,1.2303225806451619
26,12000171864,9,8991.85,999.0944444444444,9,693.0,5502.74,611.4155555555556,77.0,-387.6788888888889,-5.034790764790765
27,12000172090,12,1702.6599999999996,141.8883333333333,6,16.0,1002.07,167.01166666666668,2.6666666666666665,25.12333333333339,9.421250000000022
28,12000172342,10,1862.44,186.244,8,46.0,1674.0400000000002,209.25500000000002,5.75,23.011000000000024,4.0019130434782655
29,12000172489,13,787.01,60.53923076923077,5,91.0,171.09,34.218,18.2,-26.321230769230766,-1.4462214708368553
30,12000286278,12,1865.5200000000002,155.46,6,126.0,866.74,144.45666666666668,21.0,-11.00333333333333,-0.5239682539682539
31,12000286285,7,434.76,62.10857142857143,11,84.0,643.0999999999999,58.463636363636354,7.636363636363637,-3.6449350649350762,-0.4773129251700695
32,12000286292,7,2340.0,334.2857142857143,11,221.0,3544.4300000000003,322.2209090909091,20.09090909090909,-12.06480519480516,-0.6005106658047817
33,12000504044,8,10244.229999999998,1280.5287499999997,10,805.0,12263.710000000001,1226.371,80.5,-54.15774999999962,-0.672767080745337
34,12000504051,12,4255.29,354.6075,6,140.0,1413.8999999999999,235.64999999999998,23.333333333333332,-118.95750000000004,-5.098178571428574
35,12000809941,8,8740.46,1092.5575,10,232.0,16882.62,1688.262,23.2,595.7045,25.67691810344828
36,12000809965,8,6862.57,857.82125,10,319.0,14293.67,1429.367,31.9,571.54575,17.916794670846397
37,12000809972,11,9339.36,849.0327272727274,7,83.0,3564.66,509.2371428571428,11.857142857142858,-339.7955844155845,-28.65745892661556
38,12000809989,11,1492.06,135.64181818181817,7,72.0,592.87,84.69571428571429,10.285714285714286,-50.94610389610388,-4.953093434343432
39,12000809996,11,2724.0700000000006,247.64272727272734,7,32.0,1344.18,192.0257142857143,4.571428571428571,-55.617012987013055,-12.166221590909107
40,12000810008,17,2230.48,131.20470588235295,1,2.0,183.82,183.82,2.0,52.61529411764704,26.30764705882352
41,28400000222,11,825.23,75.02090909090909,7,24.0,695.5,99.35714285714286,3.4285714285714284,24.336233766233775,7.098068181818185
