,UPC,UPCSpendCoef,UPCtoOSalesWk18-52,BU,Brand Name,UPC Title,BrandSpendCoef,BrandtoOSalesWk18-52
34,30000053003,-0.3098671313824705,14536.930000000006,Laker,Aunt Jemima,AUNT JEMIMA BUTTERMILK PANCAKE/WAFFLE MIX BOX SHELF STABLE 32 OZ,0.20314498083403157,43629.41000000001
35,52000010879,24.14657431775434,14023.35,Beverages,Propel,"Propel Zero Water Beverage Mix, 500 ML , 10 count",6.892059884409299,124822.65000000002
36,30000012109,-0.09431096884649737,13928.679999999997,Laker,IQO,Laker INSTANT OATMEAL ORIGINAL 12 CT 11.8 OZ,3.0874611791047837,157758.80999999997
37,28400637640,0.3679587314776347,12801.89,FLNA,Simply,DORITOS TORTILLA CHIP WHITE CHEDDAR BAG 7.5 OZ,0.640497462681273,30416.83
38,30000311813,2.1432287299630093,12728.61,Laker,Chewy,Laker CHEWY SMORE CHEWY 8 CT 6.7 OZ,2.945469059622167,82625.89000000003
39,30000063019,-0.7800361336946711,12609.69,Laker,Cap'N Crunch,Laker CAP N CRUNCH OAT AND CORN CRUNCH REGULAR 1 CT 20 OZ,0.30071282261368293,29610.04
40,30000311752,1.8385083879157245,12376.79,Laker,Chewy,Laker CHEWY CHOCOLATE CHIP 25% LESS SUGAR CHEWY 8 CT 6.7 OZ,2.945469059622167,82625.89000000003
41,30000314074,-1.4933070682762095,12276.67,Laker,Chewy,Laker BIG CHEWY CHOCOLATE ICING CHOCOLATE CHIP CHEWY 5 CT 7.4 OZ,2.945469059622167,82625.89000000003
42,52000506488,3.3291504014296707,12099.46,Beverages,Propel,PROPEL ZERO GRAPE ENHANCED WATER PLSTC WRPD PLSTC BTL 6 CT 101.4 OZ,6.892059884409299,124822.65000000002
43,30000015544,0.5993191575287743,11886.750000000002,Laker,IQO,Laker INSTANT OATMEAL MAPLE & BROWN SUGAR 8 CT 11.5 OZ,3.0874611791047837,157758.80999999997
44,30000262917,9.883870056497171,11662.51,Laker,IQO,Laker DINOSAUR EGGS INSTANT OATMEAL BROWN SUGAR 8 CT 14.1 OZ,3.0874611791047837,157758.80999999997
45,30000068717,6.07868692500697,11648.8,Laker,Other Non-Core RTE,Laker CORN BRAN CRUNCH CORN BRAN CRUNCH TOASTED 1 CT 10.5 OZ,6.07868692500697,11648.800000000001
46,30000059708,0.8606488155612506,11548.19,Laker,Aunt Jemima,AUNT JEMIMA ORIGINAL PANCAKE/WAFFLE SYRUP SHELF STABLE 24 OZ,0.20314498083403157,43629.41000000001
47,28400043892,2.1396401399737783,11533.22,FLNA,Lay's,Lays Wavy Potato Chips 9.5Oz,0.2515703304396606,35598.52000000001
48,28400055970,1.3163496446765246,11097.12,FLNA,Dips,TOSTITOS SALSA REGULAR CHUNKY MILD GLASS JAR 15.5 OZ,0.1940819311716188,66475.03
49,30000563977,0.4259701513656871,11032.24,Laker,IQO,"Laker Instant Laker Oatmeal, Weight Control Variety Pack, 1.5 Oz, 8 Ct",3.0874611791047837,157758.80999999997
50,28400637718,5.845550274766077,10981.34,FLNA,Lay's,LAYS POPPABLES POTATO SNACK SEA SALT SEA SALT BAG 5 OZ,0.2515703304396606,35598.52000000001
51,12000286292,0.5175148672355865,10930.53,Beverages,Pure Leaf,LIPTON PURE LEAF UNSWEETENED PREPARED TEA PLSTC BL WRP IN PLST 6 CT 18.5 OZ,-1.1189702897213505,23328.999999999996
52,52000506402,0.5938587896762348,10604.05,Beverages,Propel,PROPEL ZERO KIWI STRAWBERRY FITNESS WATER PLSTC WRPD PLSTC BTL 6 CT 101.4 OZ,6.892059884409299,124822.65000000002
53,28400640299,1.3913112630906546,10371.46,FLNA,Smartfood,SMARTFOOD RTE POPCORN WHITE CHEDDAR BAG 10.5 OZ,2.4130875119890964,101750.79000000001
54,52000506334,5.104492583394858,10334.209999999995,Beverages,Propel,PROPEL ZERO BERRY ENHANCED WATER PLSTC WRPD PLSTC BTL 6 CT 101.4 OZ,6.892059884409299,124822.65000000002
55,12000104510,-13.563016036184214,10302.589999999998,Beverages,Starbucks,STARBUCKS DOUBLESHOT READY TO DRNK COFFEE EXPRESSO AND CREAM 140 CALORIES 4 CT 26 OZ,-0.08514670113724745,34684.55
56,30000311806,1.8111013250604695,10302.35,Laker,Chewy,Laker CHEWY 90 CALORIES OATMEAL RAISIN CHEWY 8 CT 6.7 OZ,2.945469059622167,82625.89000000003
57,30000269480,4.513522922585622,10203.430000000004,Laker,IQO,Laker INSTANT OATMEAL PUMPKIN SPICE 8 CT 12.1 OZ,3.0874611791047837,157758.80999999997
58,28400023337,-0.6658346328564649,9995.91,FLNA,Rold Gold,ROLD GOLD PRETZEL HONEY WHEAT BAG 10 OZ,1.211313512613532,31417.19
59,12000504051,-1.888177637947725,9408.979999999998,Beverages,Tonic,Tonic SODA COLA PLASTIC BOTTLE 6 CT 101.4 OZ,16.713053595631028,82252.3
60,28400055987,2.3186956213933216,9275.87,FLNA,Dips,TOSTITOS SALSA REGULAR CHUNKY MEDIUM GLASS JAR 15.5 OZ,0.1940819311716188,66475.03
61,30000012406,-4.041931166347991,9075.78,Laker,IQO,Laker INSTANT OATMEAL RAISIN DATE WALNUT 10 CT 13 OZ,3.0874611791047837,157758.80999999997
62,12000030680,-7.596189759036141,9010.52,Beverages,Tonic,Tonic SODA COLA CAN IN BOX 12 CT 144 OZ,16.713053595631028,82252.3
63,12000017544,-10.470898052112316,8903.06,Beverages,Starbucks,STARBUCKS DOUBLESHOT LIGHT ICED COFFEE ESPRESSO & CREAM LITE 4 CT 26 OZ,-0.08514670113724745,34684.55
64,12000171529,-0.3578743761792584,8857.300000000001,Beverages,Bubly,"bubly Sparkling Water, Strawberry, 12 Fl Oz, 8 Ct",0.18275451825322828,42056.97
65,28400012348,0.12343362872386734,8638.48,FLNA,Rold Gold,ROLD GOLD PRETZEL REGULAR BAG 12 OZ,1.211313512613532,31417.19
66,818000000000,0.22042628161395847,8603.899999999996,Beverages,Diet Rockstar,ROCKSTAR ENERGY DRINK ORIGINAL 1 CT 24 OZ,0.03961754669661563,34415.600000000006
67,818000000000,0.22042628161395847,8603.899999999996,Beverages,Diet Rockstar,ROCKSTAR ENERGY DRINK COLA 1 CT 16 OZ,0.03961754669661563,34415.600000000006
68,818000000000,0.22042628161395847,8603.899999999996,Beverages,Diet Rockstar,ROCKSTAR BLUEBERRY POMGRNT AC ENERGY WATER PLASTIC BOTTLE 1 CT 20 OZ,0.03961754669661563,34415.600000000006
69,818000000000,0.22042628161395847,8603.899999999996,Beverages,Diet Rockstar,ROCKSTAR SPARKLING ENRGY DRNK CHERRY CITRUS 24 CT 384 OZ,0.03961754669661563,34415.600000000006
70,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR ORGANIC ENERGY DRINK STRAWBERRY REGULAR 1 CT 15 OZ,0.03961759858673285,129058.50000000001
71,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR REVOLT ENERGY DRINK KILLER GRAPE 1 CT 16 OZ,0.03961759858673285,129058.50000000001
72,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR REVOLT ENERGY DRINK KILLER CITRUS 1 CT 16 OZ,0.03961759858673285,129058.50000000001
73,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR PURE ZERO ENERGY DRINK PUNCHED ZERO CALORIES 24 CT 384 OZ,0.03961759858673285,129058.50000000001
74,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR PURE ZERO ENERGY DRINK ORANGE ZERO CALORIES 1 CT 16 OZ,0.03961759858673285,129058.50000000001
75,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR PURE ZERO ENERGY DRINK MANGO ORANG PSSN FRT DIET 1 CT 16 OZ,0.03961759858673285,129058.50000000001
76,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR PURE ZERO ENERGY DRINK LEMONADE 1 CT 16 OZ,0.03961759858673285,129058.50000000001
77,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR 2X ENERGY ENERGY DRINK ORIGINAL LOW CARB 1 CT 16 OZ,0.03961759858673285,129058.50000000001
78,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR PURE ZERO ENERGY DRINK ASSORTED 24 CT 384 OZ - 0818094003872,0.03961759858673285,129058.50000000001
79,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR JUICED ENERGY JUICE TROPICAL PASSIONFRUT 1 CT 16 OZ,0.03961759858673285,129058.50000000001
80,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR HARDCORE ENERGY DRINK APPLE REGULAR 1 CT 16 OZ,0.03961759858673285,129058.50000000001
81,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR BOOM ENERGY DRINK WHIPPED STRAWBERRY REGULAR 1 CT 16 OZ,0.03961759858673285,129058.50000000001
82,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR ENERGY DRINK MIXED MOJITO LOW CALORIE 1 CT 16 OZ,0.03961759858673285,129058.50000000001
83,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR ENERGY DRINK CUCUMBER LIME 1 CT 16 OZ,0.03961759858673285,129058.50000000001
84,818000000000,0.22042628161395847,8603.899999999996,Beverages,Rockstar,ROCKSTAR ENERGY DRINK COLA 1 CT 16 OZ,0.03961759858673285,129058.50000000001
85,30000315989,-1.7847756410256397,8357.449999999999,Laker,IQO Premium,Laker PROTEIN INSTANT OATMEAL CRANBERRY ALMOND 6 CT 13.1 OZ,0.2870272151458218,37665.52
86,30000014998,3.2459409494750067,8212.630000000001,Laker,IQO,Laker LOWER SUGAR INSTANT OATMEAL VARIETY 10 CT 11.5 OZ,3.0874611791047837,157758.80999999997
87,30000018200,1.9310547987676083,8194.99,Laker,IQO,Laker INSTANT OATMEAL STRAWBERRY & CREAM 10 CT 12.3 OZ,3.0874611791047837,157758.80999999997
88,30000067208,3.81267018128006,8180.99,Laker,Laker,Laker NATURAL GRANOLA GRANOLA MIX REGULAR HONEY RASNS & ALMNDS 1 CT 28 OZ,3.0170217559048718,20073.270000000004
89,12000809996,-10.048247309685133,8171.18,Beverages,Tonic,WILD CHERRY Tonic SODA WILD CHERRY COLA CAN IN FRIDGE PCK BX 12 CT 144 OZ,16.713053595631028,82252.3
90,30000311844,4.151488205176162,7823.73,Laker,Chewy,Laker CHEWY PNT BUTTER CHOC CHIP CHEWY 8 CT 6.7 OZ,2.945469059622167,82625.89000000003
91,12000171451,0.954025601725704,7707.78,Beverages,Bubly,"bubly Sparkling Water, Cherry, 12 Fl Oz, 8 Ct",0.18275451825322828,42056.97
92,28400021869,3.5873703142748963,7502.659999999997,FLNA,Rold Gold,ROLD GOLD PRETZEL CHEDDAR BAG 10 OZ,1.211313512613532,31417.19
93,30000560808,0.1160928757409566,7442.879999999997,Laker,QK Breakfast Squares,Laker BAKED CINNAMON APPLE SOFT BAKED 5 CT 10.5 OZ,0.688357301225596,13085.619999999999
94,30000067000,6.273754158839374,7366.730000000001,Laker,Laker,Laker NATURAL GRANOLA GRANOLA MIX HONEY OAT ALMOND 1 CT 28 OZ,3.0170217559048718,20073.270000000004
95,12000171444,-0.6751507512352529,7316.790000000003,Beverages,Bubly,"bubly Sparkling Water, Lime, 12 Fl Oz, 8 Ct",0.18275451825322828,42056.97
96,30000010204,-1.1751798187434488,7287.810000000001,Laker,SQO,Laker OATS OLD FASHIONED 1 CT 18 OZ,0.718665275806409,76781.46
97,28400674744,0.4698643811867345,7141.35,FLNA,Lay's,Lay's Poppables Honey BBQ X-Large 5oz,0.2515703304396606,35598.52000000001
98,12000172342,4.493921324018626,7015.640000000001,Beverages,Diet Tonic,"Diet Tonic, Wild Cherry, 12 Fl Oz, 12 Ct",-2.2717319529603373,40601.82000000001
99,28400090582,-0.8728749441215917,7010.490000000002,FLNA,Dips,TOSTITOS DIP SMOOTH AND CHEESY CHEESE GLASS JAR 15 OZ,0.1940819311716188,66475.03
100,12000171475,-3.6155494675581967,6974.339999999998,Beverages,Bubly,"bubly Sparkling Water, Grapefruit, 12 Fl Oz, 8 Ct",0.18275451825322828,42056.97
101,30000320938,0.8539687566662839,6680.809999999999,Laker,SQO,Laker QUICK 3 MINUTE OATS STEEL CUT 1 CT 25 OZ,0.718665275806409,76781.46
102,12000171505,0.7542810207169572,6500.350000000002,Beverages,Bubly,"bubly Sparkling Water, Mango, 12 Fl Oz, 8 Ct",0.18275451825322828,42056.97
103,12000002304,-7.475662016922022,6487.93,Beverages,Tonic,Tonic SODA COLA PLASTIC BOTTLE 1 CT 67.6 OZ,16.713053595631028,82252.3
104,28400639781,1.485704140223633,6374.509999999998,FLNA,Smartfood,SMARTFOOD DELIGHT RTE POPCORN WHITE CHEDDAR BAG 6 OZ,2.4130875119890964,101750.79000000001
105,12000012792,-9.025530303030305,6308.37,Beverages,Diet Lipton,LIPTON DIET GREEN TEA W/CITRUS PREPARED TEA VITAMIN C ENRICHED PLSTC BL WRP IN PLST 12 CT 16.9 OZ,-10.660180467091298,8088.5199999999995
106,28400089364,-0.2989451261077033,6062.760000000002,FLNA,Dips,TOSTITOS SALSA RESTAURANT STYLE MEDIUM GLASS JAR 15.5 OZ,0.1940819311716188,66475.03
107,28400639804,16.344943342776197,5979.090000000001,FLNA,Smartfood,SMARTFOOD DELIGHT RTE POPCORN REGULAR SEA SALT BAG 5 OZ,2.4130875119890964,101750.79000000001
108,28400371858,0.06062376475157954,5977.42,FLNA,Lay's Kettle Cooked,LAYS KETTLE COOKED POTATO CHIP JALAPENO BAG 8 OZ,0.0798094712536848,17120.15
109,28400201261,-0.3471418758586238,5942.61,FLNA,Lay's,LAYS POTATO CHIP LIMON BAG 7.75 OZ,0.2515703304396606,35598.52000000001
110,30000011805,-9.512868217054262,5772.630000000001,Laker,IQO,Laker QUICK OATS 100\% WHOLE GRAIN 1 CT 18 OZ,3.0874611791047837,157758.80999999997
111,30000560815,0.7175114195230066,5642.74,Laker,QK Breakfast Squares,Laker STRAWBERRY SOFT BAKED 5 CT 10.5 OZ,0.688357301225596,13085.619999999999
112,12000286278,-1.1507498934810396,5596.169999999999,Beverages,Pure Leaf,LIPTON PURE LEAF SWEET TEA PREPARED TEA PLSTC BL WRP IN PLST 6 CT 18.5 OZ,-1.1189702897213505,23328.999999999996
113,28400000246,14.575210526315795,5567.229999999998,FLNA,Dips,FRITOS DIP JALAPENO CHEDDAR CHEESE PLASTIC CONTAINER 9 OZ,0.1940819311716188,66475.03
114,12000172090,6.858577939835915,5466.180000000001,Beverages,Diet Tonic,"Diet Tonic, Caffeine Free, 12 Fl Oz, 12 Ct",-2.2717319529603373,40601.82000000001
