UPC,SpendCoef,totSalesWk18-52,BU,Brand Name,UPC Title
30000064412,6.188542775001341,51419.96,Quaker,QK Oat Squares Cereal,QUAKER OATMEAL SQUARES OAT SQUARE REGULAR 1 CT 14.5 OZ
12000809941,32.342583901460415,49173.689999999995,Beverages,Pepsi,PEPSI SODA COLA CAN IN FRIDGE PCK BX 12 CT 144 OZ
28400642033,2.8310570681135543,45443.009999999995,FLNA,Doritos,DORITOS TORTILLA CHIP NACHO CHEESE BAG 9.75 OZ
30000060834,0.0917690365406711,44956.1,Quaker,Life,QUAKER LIFE MULTI GRAIN SQUARE CINNAMON 1 CT 18 OZ
12000504044,-0.39965883943939023,42892.75000000001,Beverages,Aquafina,AQUAFINA NATURAL PURIFIED WATER PLST BTL IN PLST WRP 24 CT 405.6 OZ
30000061190,2.48286134382269,39798.37000000001,Quaker,Life,QUAKER LIFE MULTI GRAIN SHREDDED SQUARES REGULAR 1 CT 18 OZ
12000809965,14.379119270914295,39090.060000000005,Beverages,Mountain Dew,MOUNTAIN DEW SODA DEW CAN IN FRIDGE PCK BX 12 CT 144 OZ
28400639552,2.221086233943902,38294.92999999999,FLNA,Smartfood,SMARTFOOD RTE POPCORN WHITE CHEDDAR BAG 8.5 OZ
30000010402,31.136449275362306,35017.91999999999,Quaker,SQO,QUAKER QUICK OATS OLD FASHIONED 1 CT 42 OZ
28400011099,3.98649680490237,30484.489999999994,FLNA,Smartfood,SMARTFOOD RTE POPCORN WHITE CHEDDAR CHEESE INDIVDL BGS IN PG BG 7.5 OZ
30000169018,6.892808601587717,30345.829999999994,Quaker,Large Rice Cakes,QUAKER RICE CAKE PLAIN REGULAR 4.47 OZ
30000261927,0.48298126728923463,29308.070000000003,Quaker,IQO Premium,QUAKER HIGH FIBER INSTANT OATMEAL CINNAMON SWIRL 8 CT 12.6 OZ
12000171864,-2.0907110968601237,28120.000000000004,Beverages,Diet Pepsi,Diet Pepsi Cola 12X12Floz Can
30000011904,17.935945945945942,24653.529999999995,Quaker,IQO,QUAKER INSTANT OATMEAL MAPLE & BROWN SUGAR 10 CT 15.1 OZ
30000562529,1.5552756653058821,24275.770000000004,Quaker,Large Rice Cakes,"Quaker Rice Cakes, Tomato Basil, 6.1 Oz"
12000809972,-10.116703678185287,24165.160000000003,Beverages,Diet Mountain Dew,DIET MOUNTAIN DEW SODA DEW CAN IN FRIDGE PCK BX 12 CT 144 OZ
30000012000,0.33899528416123814,23037.710000000003,Quaker,SQO,QUAKER QUICK OATS REGULAR 1 CT 42 OZ
30000311820,10.116705526770293,21654.859999999997,Quaker,Chewy,QUAKER CHEWY CHOCOLATE CHIP CHEWY 8 CT 6.7 OZ
52000010978,17.105846318465716,21410.570000000003,Beverages,Propel,PROPEL GRAPE SPORTS DRINK MIX PACKET IN BOX 10 CT .84 OZ
52000010886,-0.9831275124830511,20902.999999999993,Beverages,Propel,"Propel Powder, Kiwi Strawberry, 0.84 Oz, 10 Ct"
30000319208,0.050991477677472585,19992.879999999997,Quaker,Quaker Medleys,QUAKER REAL MEDLEYS MULTI GRAIN FLAKE AND CLUSTER REGULAR CHERRY ALMOND & PECN 1 CT 17 OZ
28400183918,-1.3069839039191506,19971.660000000003,FLNA,Baked,CHEETOS CHEESE SNACK FLAMIN'  HOT 50\% LESS FAT BAG 7.625 OZ
52000340242,7.829508610823997,19746.37,Beverages,Gatorade,GATORADE PERFORM FROST GLACIER FREEZE SPORTS DRINK MIX CANISTER 1 CT 51 OZ
52000010909,15.50542819881177,18781.73,Beverages,Propel,"Propel, Lemon, Water Beverage Mix with Electrolytes and Vitamins (10 Packets)"
30000061534,0.49362145196857893,18117.949999999997,Quaker,QK Oat Squares Cereal,QUAKER OATMEAL SQUARES WHOLE GRAIN OAT SQUARE CINNAMON 1 CT 14.5 OZ
28400068130,0.5673908980982741,17614.940000000002,FLNA,Simply,"Simply Cheetos Puffs White Cheddar Cheese Flavored Snacks, 10 Ct"
30000061411,2.924055666003976,17000.35,Quaker,Cap'N Crunch,QUAKER CAP N CRUNCHS CRUNCH BERRIES OAT AND CORN CRUNCH BERRY 1 CT 18.7 OZ
52000010893,73.68886227428393,16666.279999999995,Beverages,Propel,PROPEL RASPBERRY LEMONADE SPORTS DRINK MIX PACKET IN BOX 10 CT .8 OZ
30000268728,20.187521676300577,16095.22,Quaker,IQO,QUAKER LOWER SUGAR INSTANT OATMEAL MAPLE & BROWN SUGAR 10 CT 11.9 OZ
30000316788,11.74299293008641,14969.070000000002,Quaker,IQO,QUAKER INSTANT OATMEAL APPLE AND CINNAMON 10 CT 15.1 OZ
30000053003,-0.3098671313824705,14536.930000000004,Quaker,Aunt Jemima,AUNT JEMIMA BUTTERMILK PANCAKE/WAFFLE MIX BOX SHELF STABLE 32 OZ
52000010879,24.146574317754343,14023.349999999999,Beverages,Propel,"Propel Zero Water Beverage Mix, 500 ML , 10 count"
30000012109,-0.09431096884649733,13928.679999999998,Quaker,IQO,QUAKER INSTANT OATMEAL ORIGINAL 12 CT 11.8 OZ
28400637640,0.36795873147763464,12801.89,FLNA,Simply,DORITOS TORTILLA CHIP WHITE CHEDDAR BAG 7.5 OZ
30000311813,2.1432287299630093,12728.609999999999,Quaker,Chewy,QUAKER CHEWY SMORE CHEWY 8 CT 6.7 OZ
30000063019,-0.7800361336946705,12609.69,Quaker,Cap'N Crunch,QUAKER CAP N CRUNCH OAT AND CORN CRUNCH REGULAR 1 CT 20 OZ
