,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales
126,12000032455,0.0,0.0,27,0.0,103.89
127,12000032455,0.0,0.0,28,12.0,33.18
128,12000032455,0.0,0.0,29,8.0,158.74
129,12000032455,0.0,0.0,30,0.0,147.1
130,12000032455,0.0,0.0,31,4.0,89.09
131,12000032455,0.0,0.0,32,0.0,85.79
132,12000032455,0.0,0.0,33,4.0,59.23
133,12000032455,0.0,0.0,34,6.0,109.62
134,12000032455,0.0,0.0,35,4.0,84.9
135,12000032455,0.0,0.0,36,2.0,84.22
136,12000032455,0.0,0.0,37,0.0,54.39
137,12000032455,0.0,0.0,38,0.0,67.65
138,12000032455,0.0,4.59,39,0.0,34.56
139,12000032455,0.0,10.32,40,0.0,198.69
140,12000032455,0.0,4.36,41,0.0,39.9
141,12000032455,0.0,15.61,42,0.0,116.23
142,12000032455,0.0,5.03,43,0.0,129.9
143,12000032455,0.0,10.12,44,0.0,161.06
144,12000046513,0.0,0.0,27,0.0,29.08
145,12000046513,0.0,0.0,28,102.0,33.16
146,12000046513,0.0,0.0,29,242.0,27.98
147,12000046513,0.0,0.0,30,202.0,39.79
148,12000046513,0.0,0.0,31,200.0,56.58
149,12000046513,0.0,0.0,32,172.0,57.42
150,12000046513,0.0,0.0,33,69.0,67.7
151,12000046513,0.0,0.0,34,79.0,62.3
152,12000046513,0.0,0.0,35,57.0,43.25
153,12000046513,0.0,0.0,36,39.0,51.03
154,12000046513,0.0,0.0,37,0.0,29.75
155,12000046513,0.0,0.0,38,0.0,42.05
156,12000046513,0.0,0.0,39,0.0,45.61
157,12000046513,0.0,0.0,40,0.0,38.59
158,12000046513,0.0,8.75,41,0.0,80.04
159,12000046513,0.0,7.5,42,0.0,62.12
160,12000046513,0.0,9.11,43,0.0,81.12
161,12000046513,0.0,44.54,44,0.0,70.05
162,12000101519,0.0,0.0,27,0.0,96.9
163,12000101519,0.0,0.0,28,0.0,164.92
164,12000101519,0.0,0.0,29,0.0,39.22
165,12000101519,0.0,0.0,30,6.0,183.47
166,12000101519,0.0,0.0,31,12.0,253.78
167,12000101519,0.0,0.0,32,4.0,130.21
168,12000101519,0.0,0.0,33,3.0,63.63
169,12000101519,0.0,0.0,34,7.0,57.74
170,12000101519,0.0,0.0,35,9.0,114.9
171,12000101519,0.0,0.0,36,1.0,44.92
172,12000101519,0.0,0.0,37,0.0,79.51
173,12000101519,0.0,0.0,38,0.0,198.99
174,12000101519,0.0,0.0,39,0.0,78.69
175,12000101519,0.0,0.0,40,0.0,33.89
176,12000101519,0.0,10.12,41,0.0,75.71
177,12000101519,0.0,98.08,42,0.0,290.76
178,12000101519,0.0,19.97,43,0.0,58.67
179,12000101519,0.0,160.26,44,0.0,309.62
180,12000103681,0.0,0.0,27,0.0,50.59
181,12000103681,0.0,0.0,28,0.0,166.45
182,12000103681,0.0,0.0,29,0.0,37.95
183,12000103681,0.0,0.0,30,0.0,113.05
184,12000103681,0.0,0.0,31,0.0,134.42
185,12000103681,0.0,0.0,32,0.0,104.01
186,12000103681,0.0,0.0,33,0.0,96.69
187,12000103681,0.0,0.0,34,0.0,81.01
188,12000103681,0.0,0.0,35,0.0,74.54
189,12000103681,0.0,0.0,36,2.0,91.67
190,12000103681,0.0,0.0,37,3.0,63.28
191,12000103681,0.0,0.0,38,4.0,115.0
192,12000103681,0.0,0.0,39,1.0,121.57
193,12000103681,0.0,45.93,40,5.0,50.98
194,12000103681,0.0,0.0,41,5.0,63.34
195,12000103681,0.0,35.1,42,0.0,200.85
196,12000103681,0.0,25.69,43,0.0,67.05
197,12000103681,0.0,99.3,44,0.0,239.8
198,12000104510,0.0,0.0,27,0.0,107.97
199,12000104510,0.0,0.0,28,0.0,330.17
200,12000104510,0.0,0.0,29,0.0,320.72
201,12000104510,0.0,0.0,30,2.0,446.4
202,12000104510,0.0,0.0,31,4.0,379.21
203,12000104510,0.0,0.0,32,2.0,225.2
204,12000104510,0.0,0.0,33,5.0,171.36
205,12000104510,0.0,0.0,34,8.0,232.77
206,12000104510,0.0,0.0,35,6.0,90.42
207,12000104510,0.0,0.0,36,2.0,265.02
208,12000104510,0.0,0.0,37,0.0,204.84
209,12000104510,0.0,0.0,38,0.0,144.79
210,12000104510,0.0,0.0,39,0.0,136.67
211,12000104510,0.0,0.0,40,0.0,190.18
212,12000104510,0.0,0.0,41,0.0,232.51
213,12000104510,0.0,0.0,42,0.0,206.94
214,12000104510,0.0,0.0,43,0.0,316.67
